school266;	Clarkson College
school267;	University of Puerto Rico at Rio Piedras
school268;	Paul Quinn College
school269;	Wiley College
school270;	Ursuline College
school271;	University of Maine at Augusta
school273;	University of Texas at Dallas
school274;	Williams Baptist College
school276;	American University of Puerto Rico
school277;	Inter American University of Puerto Rico - San German Campus
school278;	University of Puerto Rico at Humacao
school279;	Polytechnic University of Puerto Rico
school281;	Lindsey Wilson College
school282;	Mount Olive College
school283;	Schreiner University
school284;	Heritage University
school286;	Bayamon Central University
school287;	College of St. Joseph
school288;	Christendom College
school289;	University of Phoenix
school290;	Pacific Oaks College
school291;	East-West University
school292;	Farmingdale State College
school294;	Mount Ida College
school295;	Warner Pacific College
school296;	Cazenovia College
school297;	University of Akron
school298;	Albion College
school299;	Baptist Bible College
school301;	Beloit College
school302;	Bemidji State University
school303;	Bethel College
school304;	Bethel University
school305;	Blackburn College
school306;	Bluffton University
school307;	Bowling Green State University
school308;	Bradley University
school309;	Briar Cliff University
school310;	Buena Vista University
school311;	Butler University
school312;	Calumet College of St. Joseph
school313;	Calvin College
school314;	Capital University
school315;	Cardinal Stritch University
school316;	Carleton College
school317;	Carroll University
school318;	Carthage College
school319;	Cedarville University
school321;	Central College
school322;	Central Methodist University
school323;	Central Michigan University
school324;	University of Central Missouri
school325;	Central State University
school326;	Chicago State University
school327;	University of Chicago
school328;	Cincinnati Christian University
school329;	University of Cincinnati
school330;	Clarke University
school331;	Cleary University
school332;	Cleveland Institute of Art
school333;	Cleveland Institute of Music
school334;	Cleveland State University
school335;	Coe College
school336;	Columbia College Chicago
school337;	Columbia College
school338;	Columbus College of Art and Design
school339;	Conception Seminary College
school340;	Concordia University Chicago
school341;	Concordia University Ann Arbor
school342;	Concordia College
school343;	Concordia University St. Paul
school344;	Concordia University Wisconsin
school345;	Cornell College
school346;	Culver-Stockton College
school347;	University of Dayton
school348;	Defiance College
school349;	Denison University
school350;	DePaul University
school351;	DePauw University
school353;	University of Detroit Mercy
school354;	DeVry University - Chicago
school357;	DeVry University - Columbus
school358;	Martin Luther College
school359;	Drake University
school360;	Drury University
school361;	University of Dubuque
school364;	Kettering University
school365;	Grace College
school366;	Hanover College
school367;	Benedictine University
school368;	Indiana Institute of Technology
school369;	Indiana University Kokomo
school370;	Kendall College
school371;	Lake Erie College
school372;	Lakeland College
school373;	Lindenwood University
school374;	Manchester University
school375;	Marietta College
school376;	McKendree University
school377;	Metropolitan State University
school378;	Rochester College
school379;	University of Michigan
school380;	Millikin University
